name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Champaign, IL",2022-10-01T00:00:00,52.3,52.3,46.9,81.91,0,0,,0,0,15.2,9.7,29,1020.2,0,9.9,0,,0,10,Clear,clear-night,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2022-10-01T01:00:00,50.6,50.6,46.9,87.11,0,0,,0,0,14.3,8.7,30,1020.2,0,9.9,0,,0,10,Clear,clear-night,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2022-10-01T02:00:00,49.5,46,46.9,90.52,0,0,,0,0,13,8.6,39,1020.3,0,9.9,0,,0,10,Clear,clear-night,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2022-10-01T03:00:00,48.4,44.9,46,91.29,0,0,,0,0,12.8,7.8,39,1020.2,0,9.9,0,,0,10,Clear,clear-night,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2022-10-01T04:00:00,46.8,43.5,44.2,90.49,0,0,,0,0,13.2,6.6,30,1020.3,0,9.5,0,,0,10,Clear,clear-night,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2022-10-01T05:00:00,45.9,42.9,43.2,90.27,0,0,,0,0,13.2,5.8,27,1020.8,0,9.5,0,,0,10,Clear,clear-night,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2022-10-01T06:00:00,43.3,38.8,41.5,93.2,0,0,,0,0,13,7.7,2,1021.2,0,8.4,0,,0,10,Clear,clear-night,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2022-10-01T07:00:00,43.4,38.9,41.5,92.9,0,0,,0,0,12.5,7.8,1,1021.6,0,9.5,13,0,0,10,Clear,clear-day,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI,F0668"
"Champaign, IL",2022-10-01T08:00:00,49.8,47,45.1,83.61,0,0,,0,0,12.8,7.1,11,1021.9,3.9,9.9,103,0.4,1,10,Clear,clear-day,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI,F0668"
"Champaign, IL",2022-10-01T09:00:00,56.6,56.6,45.4,66.02,0,0,,0,0,16.6,10,21,1022.1,0,9.9,314,1.1,3,10,Clear,clear-day,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI,F0668"
